gender,age,senior_citizen,partner,dependents,number_of_dependents,phone_service,internet_service,online_security,online_backup,device_protection,premium_tech_support,streaming_tv,streaming_movies,streaming_music,internet_type,contract,paperless_billing,payment_method,monthly_charges,avg_monthly_long_distance_charges,total_charges,total_refunds,total_extra_data_charges,total_long_distance_charges,total_revenue,tenure,multiple_lines,avg_monthly_gb_download,unlimited_data,offer,referred_a_friend,number_of_referrals,satisfaction_score,cltv,churn_value,churn_label,customer_value_proxy,value_segment,tenure_group,num_additional_services
Female,45,No,No,No,0,Yes,No,No,No,No,No,No,No,No,No Internet Service,Month-to-Month,No,Mailed check,19.05,31.28,157.65,0.0,0,281.52,439.17,9,No,0,No,Offer E,No,0,4,3248,0,Stayed,171.45000000000002,Low Value,0-12 Bulan (Baru),0
Female,72,Yes,Yes,No,0,Yes,Yes,No,No,No,No,No,No,No,Fiber Optic,One Year,Yes,Bank transfer (automatic),70.65,12.6,3545.05,0.0,0,604.8,4149.85,48,No,21,Yes,No Offer,Yes,10,3,5523,0,Stayed,3391.2000000000003,High Value,49-72 Bulan (Sangat Loyal),0
Female,36,No,No,No,0,Yes,No,No,No,No,No,No,No,No,No Internet Service,One Year,No,Mailed check,19.15,20.18,501.35,0.0,0,544.86,1046.21,27,No,0,No,No Offer,No,0,5,5606,0,Stayed,517.05,Low Value,13-48 Bulan (Loyal),0
Female,67,Yes,Yes,No,0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,DSL,Two Year,Yes,Bank transfer (automatic),92.2,18.67,6474.45,0.0,0,1306.9,7781.35,70,Yes,21,Yes,Offer A,Yes,1,4,5264,0,Stayed,6454.0,High Value,49-72 Bulan (Sangat Loyal),7
Female,51,No,No,No,0,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Fiber Optic,One Year,Yes,Electronic check,107.75,46.7,6332.75,0.0,0,2708.6,9041.35,58,Yes,19,Yes,Offer B,No,0,3,5121,0,Stayed,6249.5,High Value,49-72 Bulan (Sangat Loyal),6
Female,23,No,No,No,0,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Fiber Optic,Two Year,No,Electronic check,104.7,35.47,6333.8,0.0,150,2128.2,8612.0,60,Yes,51,No,No Offer,No,0,5,6186,0,Stayed,6282.0,High Value,49-72 Bulan (Sangat Loyal),5
Male,51,No,No,No,0,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Fiber Optic,Two Year,No,Electronic check,108.65,37.5,4903.2,0.0,0,1725.0,6628.2,46,Yes,22,Yes,No Offer,No,0,4,4210,0,Stayed,4997.900000000001,High Value,13-48 Bulan (Loyal),6
Female,24,No,No,No,0,Yes,No,No,No,No,No,No,No,No,No Internet Service,Month-to-Month,No,Mailed check,20.5,26.12,20.5,0.0,0,26.12,46.62,1,No,0,No,Offer E,No,0,2,3820,1,Churned,20.5,Low Value,0-12 Bulan (Baru),0
Male,62,No,No,No,0,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Cable,Month-to-Month,No,Electronic check,99.5,25.82,6710.5,0.0,0,1704.12,8414.62,66,No,26,Yes,Offer A,No,0,2,4001,1,Churned,6567.0,High Value,49-72 Bulan (Sangat Loyal),5
Female,44,No,No,No,0,Yes,Yes,No,No,No,No,No,Yes,Yes,Fiber Optic,Month-to-Month,Yes,Electronic check,81.95,44.94,81.95,0.0,0,44.94,126.89,1,No,16,Yes,Offer E,No,0,1,5622,1,Churned,81.95,Low Value,0-12 Bulan (Baru),2
Female,26,No,Yes,Yes,1,Yes,No,No,No,No,No,No,No,No,No Internet Service,Two Year,No,Mailed check,19.05,42.67,201.7,0.0,0,341.36,543.06,8,No,0,No,No Offer,Yes,1,3,3153,0,Stayed,152.4,Low Value,0-12 Bulan (Baru),0
Female,51,No,Yes,Yes,1,Yes,No,No,No,No,No,No,No,No,No Internet Service,Two Year,Yes,Bank transfer (automatic),19.35,46.61,1292.65,0.0,0,3169.48,4462.13,68,No,0,No,Offer A,Yes,10,4,6303,0,Stayed,1315.8000000000002,Medium Value,49-72 Bulan (Sangat Loyal),0
Male,59,No,No,No,0,No,Yes,No,Yes,Yes,No,No,No,No,DSL,Month-to-Month,Yes,Credit card (automatic),33.5,0.0,600.0,0.0,0,0.0,600.0,18,No,26,Yes,Offer D,No,0,2,5474,1,Churned,603.0,Low Value,13-48 Bulan (Loyal),2
Female,78,Yes,Yes,No,0,Yes,Yes,No,No,Yes,No,Yes,Yes,No,Fiber Optic,Month-to-Month,Yes,Electronic check,99.55,1.28,1131.2,0.0,0,14.08,1145.28,11,Yes,14,Yes,Offer D,Yes,1,3,3172,1,Churned,1095.05,Medium Value,0-12 Bulan (Baru),3
Female,27,No,No,No,0,Yes,Yes,No,Yes,No,No,Yes,No,No,Fiber Optic,Month-to-Month,No,Electronic check,84.3,1.63,84.3,0.0,10,1.63,95.93,1,No,59,No,No Offer,No,0,1,2172,1,Churned,84.3,Low Value,0-12 Bulan (Baru),2
Female,45,No,No,No,0,Yes,Yes,No,No,Yes,No,Yes,Yes,Yes,Fiber Optic,One Year,Yes,Electronic check,101.1,27.97,4674.4,0.0,0,1286.62,5961.02,46,Yes,22,Yes,Offer B,No,0,4,4883,0,Stayed,4650.599999999999,High Value,13-48 Bulan (Loyal),4
Female,55,No,No,No,0,Yes,No,No,No,No,No,No,No,No,No Internet Service,Two Year,No,Mailed check,20.0,23.46,141.6,0.0,0,187.68,329.28,8,No,0,No,No Offer,No,0,3,3087,0,Stayed,160.0,Low Value,0-12 Bulan (Baru),0
Male,32,No,Yes,Yes,3,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Fiber Optic,Month-to-Month,No,Electronic check,103.1,44.37,970.45,18.62,0,399.33,1351.16,9,No,57,Yes,Offer E,Yes,10,4,4171,0,Stayed,927.9,Medium Value,0-12 Bulan (Baru),5
Male,35,No,Yes,No,0,Yes,Yes,No,No,Yes,No,Yes,Yes,Yes,Fiber Optic,Two Year,No,Electronic check,102.6,2.72,6296.75,0.0,0,171.36,6468.11,63,Yes,22,Yes,No Offer,Yes,4,5,4004,0,Stayed,6463.799999999999,High Value,49-72 Bulan (Sangat Loyal),4
Male,42,No,No,No,0,Yes,No,No,No,No,No,No,No,No,No Internet Service,Month-to-Month,No,Electronic check,19.0,33.16,348.8,0.0,0,596.88,945.68,18,No,0,No,Offer D,No,0,5,5379,0,Stayed,342.0,Low Value,13-48 Bulan (Loyal),0
Female,23,No,No,No,0,Yes,Yes,No,No,Yes,No,No,No,No,Fiber Optic,Month-to-Month,Yes,Mailed check,74.6,22.16,74.6,0.0,10,22.16,106.76,1,No,47,No,Offer E,No,0,3,3860,1,Churned,74.6,Low Value,0-12 Bulan (Baru),1
Male,31,No,No,No,0,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,Fiber Optic,Month-to-Month,Yes,Mailed check,99.0,24.14,1301.7,0.0,0,313.82,1615.52,13,Yes,21,Yes,No Offer,No,0,1,3493,1,Churned,1287.0,Medium Value,13-48 Bulan (Loyal),4
Female,54,No,No,No,0,Yes,Yes,No,No,No,No,No,Yes,Yes,Fiber Optic,Month-to-Month,Yes,Electronic check,79.3,19.21,523.15,0.0,10,134.47,667.62,7,No,16,No,No Offer,No,0,1,3830,1,Churned,555.1,Low Value,0-12 Bulan (Baru),2
Male,45,No,Yes,Yes,3,Yes,Yes,No,No,No,Yes,No,Yes,Yes,Fiber Optic,Month-to-Month,Yes,Electronic check,85.6,28.04,1601.5,0.0,0,504.72,2106.22,18,No,28,Yes,No Offer,Yes,1,4,5968,0,Stayed,1540.8,Medium Value,13-48 Bulan (Loyal),3
Male,28,No,Yes,Yes,3,Yes,Yes,Yes,No,Yes,Yes,No,No,No,DSL,One Year,Yes,Mailed check,58.75,35.67,2203.1,0.0,0,1319.79,3522.89,37,No,76,Yes,No Offer,Yes,1,4,3483,0,Stayed,2173.75,Medium Value,13-48 Bulan (Loyal),3
Male,44,No,No,No,0,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Fiber Optic,Month-to-Month,Yes,Electronic check,106.7,25.19,1253.9,0.0,0,302.28,1556.18,12,Yes,12,Yes,No Offer,No,0,2,2406,1,Churned,1280.4,Medium Value,13-48 Bulan (Loyal),5
Female,64,No,No,No,0,No,Yes,No,No,Yes,No,Yes,Yes,Yes,DSL,Month-to-Month,Yes,Bank transfer (automatic),49.05,0.0,2076.2,20.29,0,0.0,2055.91,43,No,12,Yes,Offer B,No,0,1,4044,1,Churned,2109.15,Medium Value,13-48 Bulan (Loyal),4
Female,49,No,Yes,No,0,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Fiber Optic,Month-to-Month,Yes,Electronic check,108.75,20.37,6871.7,0.0,0,1283.31,8155.01,63,Yes,26,Yes,Offer B,Yes,10,5,4582,0,Stayed,6851.25,High Value,49-72 Bulan (Sangat Loyal),6
Male,54,No,Yes,Yes,3,Yes,No,No,No,No,No,No,No,No,No Internet Service,Two Year,Yes,Credit card (automatic),20.4,41.36,107.6,0.0,0,248.16,355.76,6,No,0,No,No Offer,Yes,1,5,4628,0,Stayed,122.39999999999999,Low Value,0-12 Bulan (Baru),0
Male,73,Yes,No,No,0,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,Fiber Optic,Month-to-Month,Yes,Credit card (automatic),102.95,3.23,2496.7,0.0,0,77.52,2574.22,24,Yes,26,Yes,No Offer,No,0,3,5245,1,Churned,2470.8,Medium Value,13-48 Bulan (Loyal),4
Female,47,No,No,No,0,Yes,Yes,No,No,No,No,Yes,Yes,Yes,Fiber Optic,Month-to-Month,Yes,Electronic check,90.4,10.53,168.2,0.0,0,21.06,189.26,2,No,8,Yes,Offer E,No,0,3,4157,1,Churned,180.8,Low Value,0-12 Bulan (Baru),3
Male,25,No,Yes,No,0,Yes,Yes,No,Yes,Yes,No,Yes,No,No,Fiber Optic,Month-to-Month,Yes,Electronic check,94.65,49.7,3624.3,0.0,0,1888.6,5512.9,38,Yes,30,Yes,No Offer,Yes,1,2,3498,1,Churned,3596.7000000000003,High Value,13-48 Bulan (Loyal),3
Male,24,No,Yes,No,0,Yes,Yes,No,No,Yes,No,Yes,Yes,Yes,Fiber Optic,One Year,Yes,Electronic check,95.8,41.8,3036.75,0.0,60,1379.4,4476.15,33,No,41,No,Offer C,Yes,1,2,4161,1,Churned,3161.4,High Value,13-48 Bulan (Loyal),4
Female,35,No,No,No,0,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Fiber Optic,Month-to-Month,Yes,Electronic check,103.85,10.5,4946.05,0.0,0,504.0,5450.05,48,Yes,12,Yes,No Offer,No,0,5,4304,0,Stayed,4984.799999999999,High Value,49-72 Bulan (Sangat Loyal),5
Male,63,No,No,No,0,Yes,Yes,No,No,Yes,No,No,Yes,Yes,Fiber Optic,Month-to-Month,No,Electronic check,86.05,44.36,308.1,0.0,0,177.44,485.54,4,No,20,Yes,No Offer,No,0,5,3653,0,Stayed,344.2,Low Value,0-12 Bulan (Baru),3
Female,48,No,No,No,0,Yes,Yes,Yes,Yes,No,Yes,No,No,No,DSL,Month-to-Month,No,Mailed check,67.45,13.74,1801.1,0.0,0,398.46,2199.56,29,Yes,2,Yes,Offer C,No,0,3,3152,0,Stayed,1956.0500000000002,Medium Value,13-48 Bulan (Loyal),3
Male,50,No,No,No,0,Yes,Yes,Yes,Yes,No,No,No,No,No,DSL,One Year,No,Bank transfer (automatic),55.45,20.29,1477.65,0.0,0,547.83,2025.48,27,No,21,Yes,No Offer,No,0,3,3616,0,Stayed,1497.15,Medium Value,13-48 Bulan (Loyal),2
Male,51,No,Yes,No,0,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,DSL,Two Year,Yes,Bank transfer (automatic),84.2,41.57,5324.5,0.0,0,2702.05,8026.55,65,Yes,16,Yes,Offer B,Yes,8,5,5256,0,Stayed,5473.0,High Value,49-72 Bulan (Sangat Loyal),6
Male,24,No,No,No,0,Yes,Yes,No,No,No,Yes,No,No,No,Fiber Optic,One Year,No,Credit card (automatic),81.7,17.18,2548.65,0.0,0,532.58,3081.23,31,Yes,76,Yes,No Offer,No,0,5,4850,0,Stayed,2532.7000000000003,Medium Value,13-48 Bulan (Loyal),1
Female,56,No,Yes,No,0,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,Fiber Optic,Month-to-Month,Yes,Mailed check,100.85,44.81,4847.35,0.0,0,2195.69,7043.04,49,Yes,10,Yes,No Offer,Yes,3,3,5417,0,Stayed,4941.65,High Value,49-72 Bulan (Sangat Loyal),4
Male,51,No,Yes,Yes,1,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Fiber Optic,Two Year,No,Bank transfer (automatic),114.45,24.95,8100.55,0.0,0,1796.4,9896.95,72,Yes,13,Yes,Offer A,No,0,3,4700,0,Stayed,8240.4,High Value,,7
Female,37,No,No,No,0,Yes,Yes,No,Yes,No,No,No,Yes,Yes,Cable,Month-to-Month,Yes,Electronic check,64.0,44.78,370.25,0.0,0,223.9,594.15,5,Yes,29,Yes,No Offer,No,0,5,4421,0,Stayed,320.0,Low Value,0-12 Bulan (Baru),3
Female,80,Yes,No,No,0,No,Yes,Yes,Yes,Yes,No,Yes,Yes,No,DSL,Two Year,Yes,Bank transfer (automatic),59.45,0.0,1884.65,0.0,0,0.0,1884.65,33,No,16,Yes,No Offer,No,0,4,3116,0,Stayed,1961.8500000000001,Medium Value,13-48 Bulan (Loyal),5
Female,48,No,Yes,Yes,1,Yes,No,No,No,No,No,No,No,No,No Internet Service,Two Year,No,Credit card (automatic),26.0,2.95,1654.85,0.0,0,191.75,1846.6,65,Yes,0,No,No Offer,Yes,7,3,5352,0,Stayed,1690.0,Medium Value,49-72 Bulan (Sangat Loyal),0
Female,32,No,No,No,0,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Cable,One Year,No,Credit card (automatic),80.55,16.11,4847.05,0.0,0,966.6,5813.65,60,Yes,18,Yes,No Offer,No,0,5,4159,0,Stayed,4833.0,High Value,49-72 Bulan (Sangat Loyal),5
Male,65,Yes,Yes,No,0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,DSL,One Year,Yes,Bank transfer (automatic),84.0,40.65,5329.55,0.0,0,2560.95,7890.5,63,No,29,Yes,No Offer,Yes,1,3,5688,0,Stayed,5292.0,High Value,49-72 Bulan (Sangat Loyal),7
Female,71,Yes,No,No,0,Yes,Yes,No,No,No,No,No,No,No,Fiber Optic,Month-to-Month,Yes,Electronic check,70.4,2.26,204.7,0.0,0,6.78,211.48,3,No,3,Yes,Offer E,No,0,3,2491,1,Churned,211.20000000000002,Low Value,0-12 Bulan (Baru),0
Female,75,Yes,Yes,No,0,Yes,Yes,No,No,No,No,No,No,No,Cable,One Year,No,Bank transfer (automatic),51.65,29.53,2838.55,0.0,0,1624.15,4462.7,55,Yes,29,Yes,No Offer,Yes,5,3,4763,0,Stayed,2840.75,Medium Value,49-72 Bulan (Sangat Loyal),0
Male,56,No,Yes,Yes,2,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Fiber Optic,One Year,No,Credit card (automatic),105.75,8.88,7322.5,0.0,0,603.84,7926.34,68,No,17,Yes,No Offer,Yes,9,3,4437,0,Stayed,7191.0,High Value,49-72 Bulan (Sangat Loyal),6
Female,70,Yes,Yes,No,0,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Fiber Optic,Two Year,Yes,Bank transfer (automatic),96.6,28.09,6827.5,0.0,0,2022.48,8849.98,72,Yes,20,Yes,No Offer,Yes,10,4,5153,0,Stayed,6955.2,High Value,,4
Female,50,No,Yes,No,0,Yes,Yes,No,No,No,No,No,Yes,Yes,Fiber Optic,Month-to-Month,Yes,Electronic check,86.5,42.22,1808.7,0.0,0,886.62,2695.32,21,Yes,29,Yes,Offer D,Yes,3,3,2036,1,Churned,1816.5,Medium Value,13-48 Bulan (Loyal),2
Male,32,No,No,No,0,Yes,Yes,No,No,No,No,No,No,No,Fiber Optic,Month-to-Month,Yes,Electronic check,69.75,31.14,324.6,0.0,0,155.7,480.3,5,No,5,Yes,Offer E,No,0,1,3965,1,Churned,348.75,Low Value,0-12 Bulan (Baru),0
Female,57,No,Yes,No,0,Yes,No,No,No,No,No,No,No,No,No Internet Service,Month-to-Month,No,Bank transfer (automatic),19.5,45.19,805.2,0.0,0,1672.03,2477.23,37,No,0,No,No Offer,Yes,1,4,3924,0,Stayed,721.5,Low Value,13-48 Bulan (Loyal),0
Female,47,No,No,No,0,Yes,Yes,No,No,No,No,Yes,Yes,Yes,DSL,One Year,Yes,Credit card (automatic),71.0,41.38,2080.1,0.0,0,1200.02,3280.12,29,Yes,4,Yes,No Offer,No,0,5,4226,0,Stayed,2059.0,Medium Value,13-48 Bulan (Loyal),3
Female,41,No,Yes,No,0,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Fiber Optic,Month-to-Month,Yes,Electronic check,111.15,8.6,6953.4,0.0,0,550.4,7503.8,64,Yes,21,Yes,No Offer,Yes,4,4,5455,0,Stayed,7113.6,High Value,49-72 Bulan (Sangat Loyal),6
Male,61,No,No,No,0,Yes,No,No,No,No,No,No,No,No,No Internet Service,Two Year,No,Bank transfer (automatic),20.05,30.25,902.0,0.0,0,1391.5,2293.5,46,No,0,No,Offer B,No,0,5,2942,0,Stayed,922.3000000000001,Medium Value,13-48 Bulan (Loyal),0
Female,77,Yes,No,Yes,2,Yes,Yes,Yes,No,No,No,No,No,No,Fiber Optic,Month-to-Month,No,Bank transfer (automatic),76.45,26.95,503.6,11.05,0,188.65,681.2,7,No,18,No,Offer E,No,0,2,4419,1,Churned,535.15,Low Value,0-12 Bulan (Baru),1
Female,66,Yes,No,No,0,Yes,Yes,No,No,Yes,No,No,No,No,Fiber Optic,Two Year,Yes,Mailed check,79.35,8.72,1835.3,15.41,0,200.56,2020.45,23,Yes,18,Yes,No Offer,No,0,5,3558,0,Stayed,1825.05,Medium Value,13-48 Bulan (Loyal),1
Male,47,No,Yes,No,0,Yes,No,No,No,No,No,No,No,No,No Internet Service,Two Year,No,Bank transfer (automatic),25.25,22.83,1728.2,0.0,0,1552.44,3280.64,68,Yes,0,No,Offer A,Yes,5,3,4571,0,Stayed,1717.0,Medium Value,49-72 Bulan (Sangat Loyal),0
Female,59,No,Yes,No,0,No,Yes,No,Yes,No,Yes,No,No,No,Cable,One Year,No,Mailed check,35.45,0.0,1391.65,0.0,0,0.0,1391.65,41,No,17,Yes,No Offer,Yes,10,4,2954,0,Stayed,1453.45,Medium Value,13-48 Bulan (Loyal),2
Male,49,No,Yes,No,0,Yes,Yes,No,No,No,No,Yes,Yes,Yes,Fiber Optic,Month-to-Month,Yes,Bank transfer (automatic),89.55,8.86,185.55,0.0,0,17.72,203.27,2,No,23,Yes,Offer E,Yes,1,1,3851,1,Churned,179.1,Low Value,0-12 Bulan (Baru),3
Female,37,No,No,Yes,2,Yes,Yes,No,Yes,Yes,Yes,No,No,No,Fiber Optic,Month-to-Month,Yes,Credit card (automatic),92.7,49.78,1556.85,0.0,0,846.26,2403.11,17,Yes,19,Yes,No Offer,No,0,4,2347,0,Stayed,1575.9,Medium Value,13-48 Bulan (Loyal),3
Male,46,No,Yes,Yes,2,Yes,No,No,No,No,No,No,No,No,No Internet Service,Two Year,No,Bank transfer (automatic),19.35,24.7,1153.25,0.0,0,1358.5,2511.75,55,No,0,No,No Offer,Yes,2,3,5248,0,Stayed,1064.25,Medium Value,49-72 Bulan (Sangat Loyal),0
Female,54,No,Yes,Yes,3,Yes,Yes,Yes,No,No,No,No,No,No,Cable,Month-to-Month,Yes,Mailed check,49.4,47.06,232.55,0.0,10,235.3,477.85,5,No,52,No,No Offer,Yes,3,4,5756,0,Stayed,247.0,Low Value,0-12 Bulan (Baru),1
Female,48,No,Yes,No,0,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,DSL,Two Year,No,Credit card (automatic),70.9,27.41,4911.35,49.37,0,1863.88,6725.86,68,Yes,9,Yes,No Offer,Yes,2,4,4114,0,Stayed,4821.200000000001,High Value,49-72 Bulan (Sangat Loyal),4
Male,80,Yes,Yes,No,0,Yes,Yes,No,No,No,No,No,No,No,Fiber Optic,Month-to-Month,Yes,Electronic check,75.4,21.37,533.05,0.0,0,149.59,682.64,7,Yes,21,Yes,No Offer,Yes,2,4,3533,0,Stayed,527.8000000000001,Low Value,0-12 Bulan (Baru),0
Female,50,No,No,No,0,Yes,Yes,No,No,No,No,No,No,No,Fiber Optic,Month-to-Month,Yes,Mailed check,69.25,39.36,418.4,0.0,0,236.16,654.56,6,No,5,Yes,No Offer,No,0,1,5816,1,Churned,415.5,Low Value,0-12 Bulan (Baru),0
Female,78,Yes,No,No,0,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,Fiber Optic,Month-to-Month,Yes,Electronic check,104.4,6.33,4133.95,0.0,0,259.53,4393.48,41,Yes,15,Yes,Offer B,No,0,5,4477,0,Stayed,4280.400000000001,High Value,13-48 Bulan (Loyal),4
Male,31,No,No,No,0,Yes,Yes,No,No,No,No,No,No,No,DSL,Month-to-Month,Yes,Electronic check,45.6,11.73,45.6,0.0,0,11.73,57.33,1,No,24,Yes,Offer E,No,0,1,3037,1,Churned,45.6,Low Value,0-12 Bulan (Baru),0
Male,25,No,Yes,No,0,Yes,Yes,No,No,Yes,No,No,Yes,Yes,Fiber Optic,Month-to-Month,Yes,Electronic check,89.2,4.0,2698.35,0.0,0,116.0,2814.35,29,Yes,48,Yes,No Offer,Yes,1,1,5292,1,Churned,2586.8,Medium Value,13-48 Bulan (Loyal),3
Male,33,No,Yes,No,0,Yes,Yes,No,No,Yes,No,Yes,Yes,Yes,Fiber Optic,One Year,Yes,Bank transfer (automatic),96.65,28.83,1588.25,0.0,0,490.11,2078.36,17,No,5,Yes,Offer D,Yes,1,5,5228,0,Stayed,1643.0500000000002,Medium Value,13-48 Bulan (Loyal),4
Male,56,No,Yes,No,0,Yes,No,No,No,No,No,No,No,No,No Internet Service,Month-to-Month,No,Bank transfer (automatic),20.35,2.15,697.65,45.07,0,79.55,732.13,37,No,0,No,No Offer,Yes,3,4,3078,0,Stayed,752.95,Low Value,13-48 Bulan (Loyal),0
Female,60,No,Yes,No,0,Yes,Yes,No,Yes,Yes,No,No,No,No,Cable,Month-to-Month,Yes,Mailed check,54.7,39.83,1178.75,0.0,0,876.26,2055.01,22,No,16,Yes,Offer D,Yes,1,3,5722,0,Stayed,1203.4,Medium Value,13-48 Bulan (Loyal),2
Female,63,No,No,No,0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,DSL,Two Year,Yes,Electronic check,88.15,21.82,6148.45,36.29,0,1483.76,7595.92,68,Yes,2,Yes,No Offer,No,0,3,5531,0,Stayed,5994.200000000001,High Value,49-72 Bulan (Sangat Loyal),7
Female,56,No,Yes,No,0,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Cable,Two Year,Yes,Electronic check,78.95,26.04,5730.15,0.0,0,1874.88,7605.03,72,Yes,6,Yes,Offer A,Yes,10,5,5050,0,Stayed,5684.400000000001,High Value,,5
Female,57,No,Yes,Yes,2,No,Yes,No,No,No,Yes,Yes,Yes,Yes,DSL,Month-to-Month,No,Credit card (automatic),51.2,0.0,1561.5,0.0,0,0.0,1561.5,30,No,12,Yes,No Offer,Yes,1,3,4568,1,Churned,1536.0,Medium Value,13-48 Bulan (Loyal),4
Female,70,Yes,No,No,0,Yes,Yes,No,No,No,No,No,No,No,Fiber Optic,Month-to-Month,Yes,Electronic check,73.9,15.43,2217.15,0.0,0,478.33,2695.48,31,Yes,2,Yes,No Offer,No,0,1,2560,1,Churned,2290.9,Medium Value,13-48 Bulan (Loyal),0
Female,40,No,Yes,Yes,3,Yes,No,No,No,No,No,No,No,No,No Internet Service,Month-to-Month,No,Mailed check,19.35,12.82,275.9,33.24,0,205.12,447.78,16,No,0,No,No Offer,Yes,10,5,4146,0,Stayed,309.6,Low Value,13-48 Bulan (Loyal),0
Male,56,No,No,No,0,Yes,No,No,No,No,No,No,No,No,No Internet Service,Two Year,No,Mailed check,25.75,4.9,1654.75,41.74,0,318.5,1931.51,65,Yes,0,No,No Offer,No,0,5,5707,0,Stayed,1673.75,Medium Value,49-72 Bulan (Sangat Loyal),0
Female,39,No,Yes,No,0,Yes,Yes,No,No,Yes,Yes,Yes,No,No,DSL,Month-to-Month,No,Bank transfer (automatic),67.95,14.9,350.3,0.0,20,74.5,444.8,5,Yes,4,No,No Offer,Yes,1,3,3889,1,Churned,339.75,Low Value,0-12 Bulan (Baru),3
Female,50,No,No,No,0,Yes,Yes,No,No,No,No,No,No,No,Fiber Optic,Month-to-Month,Yes,Electronic check,73.1,8.93,4144.9,0.0,0,491.15,4636.05,55,Yes,26,Yes,No Offer,No,0,4,5832,0,Stayed,4020.4999999999995,High Value,49-72 Bulan (Sangat Loyal),0
Female,41,No,Yes,No,0,Yes,Yes,No,No,Yes,Yes,No,Yes,Yes,Fiber Optic,Month-to-Month,Yes,Credit card (automatic),95.0,10.34,3008.15,0.0,60,341.22,3409.37,33,Yes,22,No,No Offer,Yes,1,3,4639,0,Stayed,3135.0,High Value,13-48 Bulan (Loyal),4
Female,80,Yes,No,No,0,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,Fiber Optic,Two Year,Yes,Electronic check,104.1,41.93,3121.1,0.0,0,1257.9,4379.0,30,Yes,21,Yes,No Offer,No,0,4,5655,0,Stayed,3123.0,High Value,13-48 Bulan (Loyal),4
Male,49,No,Yes,No,0,Yes,Yes,No,No,Yes,No,No,No,No,DSL,Month-to-Month,No,Credit card (automatic),55.55,11.6,1405.3,0.0,0,290.0,1695.3,25,Yes,10,Yes,Offer C,Yes,7,5,2950,0,Stayed,1388.75,Medium Value,13-48 Bulan (Loyal),1
Male,29,No,No,No,0,No,Yes,Yes,Yes,No,No,No,No,No,DSL,Month-to-Month,Yes,Mailed check,35.45,0.0,106.85,0.0,0,0.0,106.85,3,No,85,Yes,No Offer,No,0,1,2095,1,Churned,106.35000000000001,Low Value,0-12 Bulan (Baru),2
Female,42,No,No,No,0,Yes,Yes,No,Yes,No,No,No,No,No,DSL,Month-to-Month,No,Credit card (automatic),50.7,9.81,151.3,0.0,0,39.24,190.54,4,No,30,Yes,No Offer,No,0,3,4930,1,Churned,202.8,Low Value,0-12 Bulan (Baru),1
Female,57,No,No,No,0,Yes,Yes,No,No,No,No,Yes,Yes,Yes,Fiber Optic,Month-to-Month,Yes,Mailed check,89.8,10.3,1129.1,0.0,0,144.2,1273.3,14,No,29,Yes,Offer D,No,0,1,4107,1,Churned,1257.2,Medium Value,13-48 Bulan (Loyal),3
Male,52,No,No,No,0,Yes,Yes,No,No,No,No,No,No,No,Fiber Optic,Month-to-Month,No,Mailed check,70.95,24.91,1767.35,0.0,20,622.75,2410.1,25,No,18,No,No Offer,No,0,1,4881,1,Churned,1773.75,Medium Value,13-48 Bulan (Loyal),0
Male,43,No,No,No,0,Yes,No,No,No,No,No,No,No,No,No Internet Service,Month-to-Month,Yes,Mailed check,20.15,17.64,536.35,0.0,0,441.0,977.35,25,No,0,No,Offer C,No,0,5,3848,0,Stayed,503.74999999999994,Low Value,13-48 Bulan (Loyal),0
Female,23,No,Yes,No,0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Fiber Optic,Two Year,Yes,Credit card (automatic),115.55,1.67,8312.4,0.0,0,120.24,8432.64,72,Yes,59,Yes,No Offer,Yes,1,3,5076,0,Stayed,8319.6,High Value,,7
